uid,district,phone,url,county,chamber,address,email,name
362,11,(919) 715-3030,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=362&sChamber=senate,"Johnston,Nash,Wilson",S,"NC Senate,300 N. Salisbury Street, Room 408
,Raleigh, NC 27603-5925",Buck.Newton@ncleg.net,Senator E. S. (Buck) Newton  (Rep)
228,20,(919) 733-4599,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=228&sChamber=senate,"Durham,Granville",S,"NC Senate,300 N. Salisbury Street, Room 628
,Raleigh, NC 27603-5925",Floyd.McKissick@ncleg.net,"Senator Floyd B. McKissick, Jr.  (Dem)"
71,3,(919) 715-3040,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=71&sChamber=senate,"Bertie,Chowan,Edgecombe,Hertford,Martin,Northampton,Tyrrell,Washington",S,"NC Senate,300 N. Salisbury Street, Room 621
,Raleigh, NC 27603-5925",Clark.Jenkins@ncleg.net,Senator Clark Jenkins  (Dem)
227,4,(919) 715-3032,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=227&sChamber=senate,"Halifax,Nash,Vance,Warren,Wilson",S,"NC Senate,300 N. Salisbury Street, Room 518
,Raleigh, NC 27603-5925",Edward.Jones@ncleg.net,Senator Ed Jones  (Dem)
298,47,(919) 733-3460,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=298&sChamber=senate,"Madison,McDowell,Mitchell,Polk,Rutherford,Yancey",S,"NC Senate,16 W. Jones Street, Room 1026
,Raleigh, NC 27601-2808",Ralph.Hise@ncleg.net,Senator Ralph Hise  (Rep)
281,10,(919) 733-5705,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=281&sChamber=senate,"Duplin,Johnston,Sampson",S,"NC Senate,300 N. Salisbury Street, Room 523
,Raleigh, NC 27603-5925",Brent.Jackson@ncleg.net,Senator Brent Jackson  (Rep)
283,43,(919) 733-5734,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=283&sChamber=senate,Gaston,S,"NC Senate,16 W. Jones Street, Room 2113
,Raleigh, NC 27601-2808",Kathy.Harrington@ncleg.net,Senator Kathy Harrington  (Rep)
20,36,(919) 733-7223,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=20&sChamber=senate,"Cabarrus,Union",S,"NC Senate,300 N. Salisbury Street, Room 300-C
,Raleigh, NC 27603-5925",Fletcher.Hartsell@ncleg.net,"Senator Fletcher L. Hartsell, Jr.  (Rep)"
200,15,(919) 733-5850,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=200&sChamber=senate,Wake,S,"NC Senate,300 N. Salisbury Street, Room 309
,Raleigh, NC 27603-5925",Neal.Hunt@ncleg.net,Senator Neal Hunt  (Rep)
331,9,(919) 715-2525,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=331&sChamber=senate,New Hanover,S,"NC Senate,300 N. Salisbury Street, Room 406
,Raleigh, NC 27603-5925",Thom.Goolsby@ncleg.net,Senator Thom Goolsby  (Rep)
276,24,(919) 301-1446,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=276&sChamber=senate,"Alamance,Randolph",S,"NC Senate,300 N. Salisbury Street, Room 312
,Raleigh, NC 27603-5925",Rick.Gunn@ncleg.net,Senator Rick Gunn  (Rep)
192,40,(919) 733-5650,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=192&sChamber=senate,Mecklenburg,S,"NC Senate,300 N. Salisbury Street, Room 622
,Raleigh, NC 27603-5925",Malcolm.Graham@ncleg.net,Senator Malcolm Graham  (Dem)
383,23,(919) 733-5804,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=383&sChamber=senate,"Chatham,Orange",S,"NC Senate,300 N. Salisbury Street, Room 520
,Raleigh, NC 27603-5925",Valerie.Foushee@ncleg.net,Senator Valerie P. Foushee  (Dem)
230,5,(919) 715-8363,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=230&sChamber=senate,"Greene,Lenoir,Pitt,Wayne",S,"NC Senate,300 N. Salisbury Street, Room 518
,Raleigh, NC 27603-5925",Don.Davis@ncleg.net,Senator Don Davis  (Dem)
357,50,(919) 733-5875,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=357&sChamber=senate,"Cherokee,Clay,Graham,Haywood,Jackson,Macon,Swain",S,"NC Senate,16 W. Jones Street, Room 2111
,Raleigh, NC 27601-2808",Jim.Davis@ncleg.net,Senator Jim Davis  (Rep)
370,38,(919) 733-5955,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=370&sChamber=senate,Mecklenburg,S,"NC Senate,16 W. Jones Street, Room 1119
,Raleigh, NC 27601-2808",Joel.Ford@ncleg.net,Senator Joel D. M. Ford  (Dem)
295,46,(919) 715-7823,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=295&sChamber=senate,"Burke,Cleveland",S,"NC Senate,16 W. Jones Street, Room 1127
,Raleigh, NC 27601-2808",Warren.Daniel@ncleg.net,Senator Warren Daniel  (Rep)
381,1,(919) 715-8293,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=381&sChamber=senate,"Beaufort,Camden,Currituck,Dare,Gates,Hyde,Pasquotank,Perquimans",S,"NC Senate,300 N. Salisbury Street, Room 525
,Raleigh, NC 27603-5925",Bill.Cook@ncleg.net,Senator Bill Cook  (Rep)
54,37,(919) 715-8331,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=54&sChamber=senate,Mecklenburg,S,"NC Senate,300 N. Salisbury Street, Room 620
,Raleigh, NC 27603-5925",Daniel.Clodfelter@ncleg.net,Senator Daniel G. Clodfelter  (Dem)
378,44,(919) 715-3038,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=378&sChamber=senate,"Gaston,Iredell,Lincoln",S,"NC Senate,300 N. Salisbury Street, Room 410
,Raleigh, NC 27603-5925",David.Curtis@ncleg.net,Senator David L. Curtis  (Rep)
382,4,(919) 733-5878,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=382&sChamber=senate,"Halifax,Nash,Vance,Warren,Wilson",S,"NC Senate,300 N. Salisbury Street, Room 516
,Raleigh, NC 27603-5925",Angela.Bryant@ncleg.net,Senator Angela R. Bryant  (Dem)
380,21,(919) 733-9349,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=380&sChamber=senate,"Cumberland,Hoke",S,"NC Senate,16 W. Jones Street, Room 1121
,Raleigh, NC 27601-2808",Ben.Clark@ncleg.net,Senator Ben Clark  (Dem)
223,,,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=223&sChamber=senate,,S,,,Senator Peter S. Brunstetter  (Rep)
63,33,(919) 733-5665,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=63&sChamber=senate,"Davidson,Montgomery",S,"NC Senate,16 W. Jones Street, Room 2117
,Raleigh, NC 27601-2808",Stan.Bingham@ncleg.net,Senator Stan Bingham  (Rep)
268,14,(919) 733-5752,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=268&sChamber=senate,Wake,S,"NC Senate,16 W. Jones Street, Room 1117
,Raleigh, NC 27601-2808",Dan.Blue@ncleg.net,Senator Dan Blue  (Dem)
104,34,(919) 715-0690,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=104&sChamber=senate,"Davie,Iredell,Rowan",S,"NC Senate,300 N. Salisbury Street, Room 521
,Raleigh, NC 27603-5925",Andrew.Brock@ncleg.net,Senator Andrew C. Brock  (Rep)
64,26,(919) 733-5708,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=64&sChamber=senate,"Guilford,Rockingham",S,"NC Senate,16 W. Jones Street, Room 2008
,Raleigh, NC 27601-2808",Phil.Berger@ncleg.net,Senator Phil Berger  (Rep)
139,6,(919) 715-3034,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=139&sChamber=senate,"Jones,Onslow",S,"NC Senate,300 N. Salisbury Street, Room 300-B
,Raleigh, NC 27603-5925",Harry.Brown@ncleg.net,Senator Harry Brown  (Rep)
2,42,(919) 733-5876,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=2&sChamber=senate,"Alexander,Catawba",S,"NC Senate,300 N. Salisbury Street, Room 625
,Raleigh, NC 27603-5925",Austin.Allran@ncleg.net,Senator Austin M. Allran  (Rep)
369,18,(919) 715-3036,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=369&sChamber=senate,"Franklin,Wake",S,"NC Senate,300 N. Salisbury Street, Room 623
,Raleigh, NC 27603-5925",Chad.Barefoot@ncleg.net,Senator Chad Barefoot  (Rep)
83,48,(919) 733-5745,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=83&sChamber=senate,"Buncombe,Henderson,Transylvania",S,"NC Senate,16 W. Jones Street, Room 2010
,Raleigh, NC 27601-2808",Tom.Apodaca@ncleg.net,Senator Tom Apodaca  (Rep)
503,2,919-715-0850,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=503&sChamber=House,"Granville,Person",H,"NC House of Representatives,16 W. Jones Street, Room 1301
,Raleigh, NC 27601-1096",Winkie.Wilkins@ncleg.net,Representative W. A. (Winkie) Wilkins  (Dem)
481,27,919-733-5662,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=481&sChamber=House,"Halifax,Northampton",H,"NC House of Representatives,300 N. Salisbury Street, Room 503
,Raleigh, NC 27603-5925",Michael.Wray@ncleg.net,Representative Michael H. Wray  (Dem)
682,80,919-715-2526,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=682&sChamber=House,Davidson,H,"NC House of Representatives,16 W. Jones Street, Room 1206
,Raleigh, NC 27601-1096",Roger.Younts@ncleg.net,Representative Roger Younts  (Rep)
368,17,(919) 733-5653,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=368&sChamber=senate,Wake,S,"NC Senate,300 N. Salisbury Street, Room 411
,Raleigh, NC 27603-5925",Tamara.Barringer@ncleg.net,Senator Tamara Barringer  (Rep)
660,113,919-715-4466,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=660&sChamber=House,"Henderson,Polk,Transylvania",H,"NC House of Representatives,300 N. Salisbury Street, Room 537
,Raleigh, NC 27603-5925",Chris.Whitmire@ncleg.net,Representative Chris Whitmire  (Rep)
658,84,919-733-5661,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=658&sChamber=House,Iredell,H,"NC House of Representatives,16 W. Jones Street, Room 1104
,Raleigh, NC 27601-1096",Rena.Turner@ncleg.net,Representative Rena W. Turner  (Rep)
630,77,919-733-5784,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=630&sChamber=House,Rowan,H,"NC House of Representatives,300 N. Salisbury Street, Room 611
,Raleigh, NC 27603-5925",Harry.Warren@ncleg.net,Representative Harry Warren  (Rep)
606,108,919-733-5868,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=606&sChamber=House,Gaston,H,"NC House of Representatives,300 N. Salisbury Street, Room 538
,Raleigh, NC 27603-5925",John.Torbett@ncleg.net,Representative John A. Torbett  (Rep)
652,96,919-733-5988,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=652&sChamber=House,Catawba,H,"NC House of Representatives,16 W. Jones Street, Room 2221
,Raleigh, NC 27601-1096",Andy.Wells@ncleg.net,Representative Andy Wells  (Rep)
673,46,919-733-5821,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=673&sChamber=House,"Bladen,Columbus,Robeson",H,"NC House of Representatives,16 W. Jones Street, Room 1311
,Raleigh, NC 27601-1096",Ken.Waddell@ncleg.net,Representative Ken Waddell  (Dem)
654,6,919-733-5906,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=654&sChamber=House,"Beaufort,Dare,Hyde,Washington",H,"NC House of Representatives,16 W. Jones Street, Room 1307
,Raleigh, NC 27601-1096",Paul.Tine@ncleg.net,Representative Paul Tine  (Dem)
48,23,919-715-3024,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=48&sChamber=House,"Edgecombe,Martin",H,"NC House of Representatives,300 N. Salisbury Street, Room 510
,Raleigh, NC 27603-5925",Joe.Tolson@ncleg.net,Representative Joe P. Tolson  (Dem)
267,120,919-733-5859,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=267&sChamber=House,"Cherokee,Clay,Graham,Macon",H,"NC House of Representatives,16 W. Jones Street, Room 1229
,Raleigh, NC 27601-1096",Roger.West@ncleg.net,Representative Roger West  (Rep)
309,37,919-733-2962,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=309&sChamber=House,Wake,H,"NC House of Representatives,300 N. Salisbury Street, Room 612
,Raleigh, NC 27603-5925",Paul.Stam@ncleg.net,Representative Paul Stam  (Rep)
565,98,919-733-3451,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=565&sChamber=House,Mecklenburg,H,"NC House of Representatives,16 W. Jones Street, Room 2304
,Raleigh, NC 27601-1096",Thom.Tillis@ncleg.net,Representative Thom Tillis  (Rep)
666,1,919-733-0010,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=666&sChamber=House,"Camden,Chowan,Currituck,Pasquotank,Perquimans,Tyrrell",H,"NC House of Representatives,300 N. Salisbury Street, Room 306A2
,Raleigh, NC 27603-5925",Bob.Steinburg@ncleg.net,Representative Bob Steinburg  (Rep)
592,90,919-715-1883,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=592&sChamber=House,"Surry,Wilkes",H,"NC House of Representatives,300 N. Salisbury Street, Room 635
,Raleigh, NC 27603-5925",Sarah.Stevens@ncleg.net,Representative Sarah Stevens  (Rep)
676,71,919-733-5777,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=676&sChamber=House,Forsyth,H,"NC House of Representatives,16 W. Jones Street, Room 1015
,Raleigh, NC 27601-1096",Evelyn.Terry@ncleg.net,Representative Evelyn Terry  (Dem)
91,87,919-733-5931,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=91&sChamber=House,Caldwell,H,"NC House of Representatives,300 N. Salisbury Street, Room 301F
,Raleigh, NC 27603-5925",Edgar.Starnes@ncleg.net,Representative Edgar V. Starnes  (Rep)
629,51,919-715-3026,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=629&sChamber=House,"Harnett,Lee",H,"NC House of Representatives,300 N. Salisbury Street, Room 529
,Raleigh, NC 27603-5925",Michael.Stone@ncleg.net,Representative Mike C. Stone  (Rep)
662,45,919-733-9892,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=662&sChamber=House,Cumberland,H,"NC House of Representatives,16 W. Jones Street, Room 2223
,Raleigh, NC 27601-1096",John.Szoka@ncleg.net,Representative John Szoka  (Rep)
632,97,919-733-5782,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=632&sChamber=House,Lincoln,H,"NC House of Representatives,300 N. Salisbury Street, Room 402
,Raleigh, NC 27603-5925",Jason.Saine@ncleg.net,Representative Jason Saine  (Rep)
664,63,919-733-5820,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=664&sChamber=House,Alamance,H,"NC House of Representatives,16 W. Jones Street, Room 1010
,Raleigh, NC 27601-1096",Stephen.Ross@ncleg.net,Representative Stephen M. Ross  (Rep)
647,105,919-733-5886,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=647&sChamber=House,Mecklenburg,H,"NC House of Representatives,16 W. Jones Street, Room 1323
,Raleigh, NC 27601-1096",Jacqueline.Schaffer@ncleg.net,Representative Jacqueline Michelle Schaffer  (Rep)
628,15,919-715-9644,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=628&sChamber=House,Onslow,H,"NC House of Representatives,300 N. Salisbury Street, Room 530
,Raleigh, NC 27603-5925",Phil.Shepard@ncleg.net,Representative Phil Shepard  (Rep)
149,89,919-733-4948,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=149&sChamber=House,Catawba,H,"NC House of Representatives,16 W. Jones Street, Room 2204
,Raleigh, NC 27601-1096",Mitchell.Setzer@ncleg.net,Representative Mitchell S. Setzer  (Rep)
563,104,919-715-3009,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=563&sChamber=House,Mecklenburg,H,"NC House of Representatives,16 W. Jones Street, Room 2226
,Raleigh, NC 27601-1096",Ruth.Samuelson@ncleg.net,Representative Ruth Samuelson  (Rep)
671,3,919-733-5853,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=671&sChamber=House,"Beaufort,Craven,Pamlico",H,"NC House of Representatives,16 W. Jones Street, Room 1008
,Raleigh, NC 27601-1096",Michael.Speciale@ncleg.net,Representative Michael Speciale  (Rep)
311,,,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=311&sChamber=House,,H,,,Representative Deborah K. Ross  (Dem)
665,64,919-733-5905,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=665&sChamber=House,Alamance,H,"NC House of Representatives,300 N. Salisbury Street, Room 533
,Raleigh, NC 27603-5925",Dennis.Riddell@ncleg.net,Representative Dennis Riddell  (Rep)
653,115,919-733-5746,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=653&sChamber=House,Buncombe,H,"NC House of Representatives,16 W. Jones Street, Room 1004
,Raleigh, NC 27601-1096",Nathan.Ramsey@ncleg.net,Representative Nathan Ramsey  (Rep)
670,118,919-733-5732,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=670&sChamber=House,"Haywood,Madison,Yancey",H,"NC House of Representatives,16 W. Jones Street, Room 1025
,Raleigh, NC 27601-1096",Michele.Presnell@ncleg.net,Representative Michele D. Presnell  (Rep)
680,7,919-715-3032,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=680&sChamber=House,"Franklin,Nash",H,"NC House of Representatives,16 W. Jones Street, Room 1209
,Raleigh, NC 27601-1096",Bobbie.Richardson@ncleg.net,Representative Bobbie Richardson  (Dem)
