county,phone,name,district,address,url,email
"Columbus,Robeson",(919) 733-5651,Senator Michael P. Walters  (Dem),13,"NC Senate,300 N. Salisbury Street, Room 517
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=269&sChamber=senate,Michael.Walters@ncleg.net
"Moore,Randolph",(919) 733-5870,Senator Jerry W. Tillman  (Rep),29,"NC Senate,300 N. Salisbury Street, Room 627
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=99&sChamber=senate,Jerry.Tillman@ncleg.net
Aye,S775,13S349
Aye,S775,13S65
No,S775,13S176
Aye,S775,13S283
Aye,S775,13S57
Aye,S775,13S61
Aye,S775,13S155
Aye,S775,13S156
Aye,S775,13S271
Aye,S775,13S287
Aye,S775,13S347
Aye,S775,13S393
Aye,S775,13S826
Aye,S775,13S845
Aye,S775,13S190
Aye,S775,13S32
Aye,S775,13S350
Aye,S775,13S371
Aye,S775,13S372
Aye,S775,13S72
Aye,S775,13S87
No,S775,13S169
Aye,S775,13S230
Vote,S776,13SRCS #
Aye,S775,13S59
Aye,S775,13S78
Aye,S775,13S147
Aye,S775,13S542
Aye,S775,13S317
Aye,S775,13S318
Aye,S775,13S342
Aye,S775,13S343
No,S775,13S823
Aye,S775,13S235
Aye,S775,13S311
Aye,S775,13S312
Aye,S775,13S328
Aye,S775,13S710
Aye,S775,13S51
Aye,S775,13S208
Aye,S775,13S472
Aye,S775,13S141
Aye,S775,13S144
Aye,S775,13S145
Aye,S775,13S762
Aye,S775,13S55
Aye,S775,13S93
Aye,S775,13S388
No,S775,13S389
Aye,S775,13S390
Aye,S775,13S391
Aye,S775,13S817
Aye,S775,13S351
Aye,S775,13S473
Aye,S775,13S113
Aye,S775,13S118
Aye,S775,13S788
Aye,S775,13S805
Aye,S775,13S148
Aye,S775,13S91
Aye,S775,13S97
Aye,S776,13S1
Aye,S776,13S3
No,S776,13S4
No,S776,13S5
No,S776,13S28
No,S776,13S44
Aye,S776,13S583
Aye,S776,13S99
Aye,S776,13S89
Excused Absence,S776,13S540
Aye,S776,13S7
Aye,S776,13S8
Aye,S776,13S9
Aye,S776,13S10
No,S776,13S11
Aye,S776,13S16
Aye,S776,13S17
No,S776,13S18
No,S776,13S60
No,S776,13S205
Aye,S776,13S69
Aye,S776,13S15
N/V,S776,13S590
Aye,S776,13S35
Aye,S776,13S609
Aye,S776,13S871
Aye,S776,13S62
Aye,S776,13S63
Excused Absence,S776,13S130
Aye,S776,13S70
Aye,S776,13S330
Aye,S776,13S286
Aye,S776,13S64
Aye,S776,13S125
Aye,S776,13S258
Aye,S776,13S33
No,S776,13S105
Excused Absence,S776,13S554
Aye,S776,13S86
Vote,S774,13SRCS #
Vote,S519,13SRCS #
Vote,S564,13SRCS #
Aye,S775,13S628
Aye,S775,13S352
Aye,S775,13S395
Aye,S775,13S711
Aye,S775,13S94
Aye,S775,13S98
Aye,S775,13S106
Aye,S775,13S177
Aye,S775,13S178
Aye,S775,13S179
Aye,S775,13S353
Aye,S775,13S354
No,S775,13S847
Aye,S775,13S899
Aye,S775,13S209
Aye,S775,13S288
Aye,S775,13S289
Aye,S775,13S146
Aye,S775,13S95
Aye,S775,13S103
Aye,S775,13S104
No,S775,13S474
Aye,S775,13S753
Aye,S775,13S210
Aye,S775,13S96
Aye,S775,13S643
Aye,S775,13S102
Aye,S775,13S122
Aye,S775,13S123
Aye,S775,13S459
Aye,S775,13S114
Aye,S775,13S355
Aye,S775,13S356
Aye,S775,13S168
Aye,S775,13S543
Aye,S775,13S107
Aye,S775,13S115
Aye,S775,13S774
Aye,S775,13S108
No,S775,13S618
Aye,S775,13S716
Aye,S775,13S149
Aye,S775,13S376
Aye,S775,13S377
No,S775,13S872
Aye,S775,13S170
Aye,S775,13S468
Aye,S775,13S131
Aye,S775,13S228
Aye,S775,13S211
Aye,S775,13S482
Aye,S775,13S79
Aye,S775,13S290
Aye,S775,13S647
Aye,S775,13S291
Aye,S776,13S6
Aye,S776,13S58
Aye,S776,13S46
Aye,S776,13S47
Aye,S776,13S71
Aye,S776,13S111
Excused Absence,S776,13S27
Aye,S776,13S12
Aye,S776,13S13
Aye,S776,13S26
Aye,S776,13S48
Excused Absence,S776,13S52
Aye,S776,13S56
No,S776,13S240
No,S776,13S259
Aye,S776,13S19
Aye,S776,13S100
Aye,S776,13S895
Aye,S776,13S34
Aye,S776,13S316
Aye,S776,13S789
Aye,S776,13S36
Aye,S776,13S37
No,S776,13S38
Aye,S776,13S39
Aye,S776,13S40
No,S776,13S41
No,S776,13S45
Excused Absence,S776,13S541
No,S776,13S830
Aye,S776,13S300
No,S776,13S80
Aye,S776,13S81
Aye,S776,13S82
Aye,S776,13S83
No,S776,13S84
No,S776,13S85
No,S776,13S773
No,S776,13S797
Aye,S776,13S101
Aye,S776,13S257
Excused Absence,S776,13S53
Aye,S776,13S349
Aye,S776,13S65
Excused Absence,S776,13S176
Aye,S776,13S283
Aye,S776,13S57
Aye,S776,13S61
Aye,S776,13S155
Aye,S776,13S156
Aye,S776,13S271
Aye,S776,13S287
Aye,S776,13S347
Aye,S774,13S1
Aye,S774,13S3
Aye,S774,13S4
Aye,S774,13S5
No,S774,13S28
Aye,S774,13S44
Aye,S774,13S583
Aye,S774,13S99
Aye,S774,13S89
Aye,S774,13S540
Aye,S774,13S7
No,S774,13S8
No,S774,13S9
No,S774,13S10
Aye,S774,13S11
Aye,S774,13S16
Aye,S774,13S17
Aye,S774,13S18
No,S774,13S60
Aye,S774,13S205
Aye,S774,13S69
Aye,S774,13S15
Aye,S774,13S590
Aye,S774,13S35
Aye,S774,13S609
Aye,S774,13S871
Aye,S774,13S62
Aye,S774,13S63
Aye,S774,13S130
Aye,S774,13S70
Aye,S774,13S330
Aye,S774,13S286
Aye,S774,13S64
Aye,S774,13S125
Aye,S774,13S258
Aye,S774,13S33
No,S774,13S105
Aye,S774,13S554
Aye,S774,13S86
Aye,S774,13S6
Aye,S774,13S58
Aye,S774,13S46
Aye,S774,13S47
Aye,S774,13S71
Aye,S774,13S111
Aye,S774,13S27
Aye,S774,13S12
Aye,S774,13S13
Aye,S774,13S26
Aye,S774,13S48
Aye,S774,13S52
Aye,S774,13S56
Aye,S774,13S240
Aye,S774,13S259
Aye,S519,13S1
Aye,S519,13S3
Aye,S519,13S4
Aye,S519,13S5
No,S519,13S28
Aye,S519,13S44
Aye,S519,13S583
Aye,S519,13S99
Aye,S519,13S89
Aye,S519,13S540
Aye,S519,13S7
No,S519,13S8
No,S519,13S9
No,S519,13S10
Aye,S519,13S11
Aye,S519,13S16
Aye,S519,13S17
Aye,S519,13S18
No,S519,13S60
Aye,S519,13S205
Aye,S519,13S69
Aye,S519,13S15
Aye,S519,13S590
Aye,S519,13S35
Aye,S519,13S609
Aye,S519,13S871
Aye,S519,13S62
Aye,S519,13S63
Aye,S519,13S130
Aye,S519,13S70
Aye,S519,13S330
Aye,S519,13S286
Aye,S519,13S64
Aye,S519,13S125
Aye,S519,13S258
Aye,S519,13S33
No,S519,13S105
Aye,S519,13S554
Aye,S519,13S86
Aye,S519,13S6
Aye,S519,13S58
Aye,S519,13S46
Aye,S519,13S47
Aye,S519,13S71
Aye,S519,13S111
Aye,S519,13S27
Aye,S519,13S12
Aye,S519,13S13
Aye,S564,13S1
Aye,S564,13S3
Aye,S564,13S4
Aye,S564,13S5
No,S564,13S28
Aye,S564,13S44
Aye,S564,13S583
Aye,S564,13S99
Aye,S564,13S89
Aye,S564,13S540
Aye,S564,13S7
No,S564,13S8
No,S564,13S9
No,S564,13S10
Aye,S564,13S11
Aye,S564,13S16
Aye,S564,13S17
Aye,S564,13S18
No,S564,13S60
Aye,S564,13S205
Aye,S564,13S69
Aye,S564,13S15
Aye,S564,13S590
Aye,S564,13S35
Aye,S564,13S609
Aye,S564,13S871
Aye,S564,13S62
Aye,S564,13S63
Aye,S564,13S130
Aye,S564,13S70
Aye,S564,13S330
Aye,S564,13S286
Aye,S564,13S64
Aye,S564,13S125
Aye,S564,13S258
Aye,S564,13S33
Aye,S564,13S105
Aye,S564,13S554
Aye,S564,13S86
Aye,S564,13S6
Aye,S564,13S58
Aye,S564,13S46
Aye,S564,13S47
Aye,S564,13S71
Aye,S564,13S111
Aye,S564,13S27
Aye,S564,13S12
Aye,S564,13S13
Aye,S564,13S26
Aye,S564,13S48
Vote,S704,13SRCS #
Aye,S775,13S619
Aye,S775,13S112
Aye,S775,13S117
Aye,S775,13S346
Aye,S775,13S392
Aye,S775,13S237
Aye,S775,13S120
Aye,S775,13S712
Aye,S775,13S262
Aye,S775,13S598
Aye,S775,13S197
Aye,S775,13S198
Aye,S775,13S199
No,S775,13S883
Aye,S775,13S900
Aye,S775,13S775
Aye,S775,13S153
Aye,S775,13S162
Aye,S775,13S357
Aye,S775,13S370
Aye,S775,13S375
Aye,S775,13S610
Aye,S775,13S806
No,S775,13S126
No,S775,13S127
Aye,S775,13S128
Aye,S775,13S544
Aye,S775,13S471
Aye,S775,13S481
Aye,S775,13S878
Aye,S775,13S907
Aye,S776,13S393
Aye,S776,13S826
Aye,S776,13S845
Aye,S776,13S190
Aye,S776,13S32
No,S776,13S350
Aye,S776,13S371
Aye,S776,13S372
Aye,S776,13S72
Aye,S776,13S87
Excused Absence,S776,13S169
Aye,S776,13S230
Aye,S776,13S59
Aye,S776,13S78
Aye,S776,13S147
Excused Absence,S776,13S542
Aye,S776,13S317
No,S776,13S318
Aye,S776,13S342
No,S776,13S343
No,S776,13S823
Excused Absence,S776,13S235
Aye,S776,13S311
No,S776,13S312
No,S776,13S328
No,S776,13S710
Excused Absence,S776,13S51
Aye,S776,13S208
Excused Absence,S776,13S472
Aye,S776,13S141
Aye,S776,13S144
Aye,S776,13S145
Aye,S776,13S762
Excused Absence,S776,13S55
Aye,S776,13S93
Aye,S776,13S388
Aye,S776,13S389
No,S776,13S390
No,S776,13S391
Excused Absence,S776,13S817
Aye,S776,13S351
Excused Absence,S776,13S473
Aye,S776,13S113
N/V,S776,13S118
Aye,S776,13S788
Aye,S776,13S805
Aye,S776,13S148
Aye,S776,13S91
Aye,S776,13S97
Aye,S776,13S628
Aye,S776,13S352
Aye,S776,13S395
Aye,S776,13S711
Aye,S776,13S94
Aye,S776,13S98
Aye,S776,13S106
Excused Absence,S776,13S177
Excused Absence,S776,13S178
Excused Absence,S776,13S179
Aye,S776,13S353
Aye,S776,13S354
No,S776,13S847
Aye,S776,13S899
Aye,S776,13S209
Aye,S776,13S288
Aye,S776,13S289
Aye,S776,13S146
Aye,S776,13S95
Aye,S776,13S103
Aye,S776,13S104
Excused Absence,S776,13S474
Aye,S774,13S19
Aye,S774,13S100
Aye,S774,13S895
Aye,S774,13S34
N/V,S774,13S316
Aye,S774,13S789
Aye,S774,13S36
Aye,S774,13S37
Aye,S774,13S38
Aye,S774,13S39
No,S774,13S40
Aye,S774,13S41
Aye,S774,13S45
No,S774,13S541
Aye,S774,13S830
Aye,S774,13S300
Aye,S774,13S80
No,S774,13S81
No,S774,13S82
No,S774,13S83
Aye,S774,13S84
Aye,S774,13S85
Aye,S774,13S773
Aye,S774,13S797
Aye,S774,13S101
Aye,S774,13S257
Aye,S774,13S53
Aye,S774,13S349
Aye,S774,13S65
No,S774,13S176
Aye,S774,13S283
Aye,S774,13S57
Aye,S774,13S61
Aye,S774,13S155
Aye,S774,13S156
Aye,S774,13S271
Aye,S774,13S287
Aye,S774,13S347
Aye,S774,13S393
Aye,S519,13S26
Aye,S564,13S52
Aye,S564,13S56
No,S564,13S240
No,S564,13S259
Aye,S564,13S19
Aye,S564,13S100
Aye,S564,13S895
Aye,S564,13S34
Aye,S564,13S316
Aye,S564,13S789
Aye,S564,13S36
Aye,S564,13S37
Aye,S564,13S38
Aye,S564,13S39
No,S564,13S40
Aye,S564,13S41
Aye,S564,13S45
No,S564,13S541
Aye,S564,13S830
Aye,S564,13S300
Aye,S564,13S80
No,S564,13S81
Aye,S564,13S82
No,S564,13S83
Aye,S564,13S84
Aye,S564,13S85
Aye,S564,13S773
Aye,S564,13S797
Aye,S564,13S101
Aye,S564,13S257
Aye,S564,13S53
Aye,S564,13S349
Aye,S564,13S65
No,S564,13S176
Aye,S564,13S283
Aye,S564,13S57
Aye,S564,13S61
Aye,S564,13S155
Aye,S564,13S156
Aye,S564,13S271
No,S564,13S287
Aye,S564,13S347
Aye,S564,13S393
Aye,S564,13S826
Aye,S564,13S845
Aye,S564,13S190
Aye,S564,13S32
Aye,S564,13S350
Aye,S564,13S371
Aye,S564,13S372
Aye,S564,13S72
Aye,S564,13S87
No,S564,13S169
Aye,S564,13S230
Aye,S564,13S59
Aye,S564,13S78
Aye,S564,13S147
Aye,S564,13S542
Aye,S564,13S317
Aye,S564,13S318
Aye,S564,13S342
Aye,S704,13S1
Aye,S704,13S3
Aye,S704,13S4
Aye,S704,13S5
No,S704,13S28
Aye,S704,13S44
Aye,S704,13S583
Aye,S704,13S99
Excused Absence,S704,13S89
Aye,S704,13S540
Aye,S704,13S7
No,S704,13S8
No,S704,13S9
No,S704,13S10
Aye,S704,13S11
Aye,S704,13S16
Aye,S704,13S17
Aye,S704,13S18
No,S704,13S60
Aye,S704,13S205
Aye,S704,13S69
Aye,S704,13S15
Aye,S704,13S590
Aye,S704,13S35
Aye,S704,13S609
Aye,S704,13S871
Aye,S704,13S62
Aye,S704,13S63
Aye,S704,13S130
Aye,S704,13S70
Aye,S704,13S330
Aye,S704,13S286
Aye,S704,13S64
Aye,S704,13S125
Aye,S704,13S258
Aye,S704,13S33
No,S704,13S105
Aye,S704,13S554
Aye,S704,13S86
Aye,S704,13S6
Aye,S704,13S58
Aye,S704,13S46
Aye,S704,13S47
Aye,S704,13S71
Aye,S704,13S111
Aye,S704,13S27
Aye,S704,13S12
Aye,S704,13S13
Aye,S704,13S26
Vote,S629,13SRCS #
Vote,S643,13SRCS #
Aye,S775,13S124
Aye,S775,13S129
Aye,S775,13S186
Aye,S775,13S187
No,S775,13S884
Aye,S775,13S901
Aye,S775,13S242
Aye,S775,13S301
Aye,S775,13S302
No,S775,13S848
Aye,S775,13S896
Aye,S775,13S188
Aye,S775,13S189
Aye,S775,13S509
Aye,S775,13S319
Aye,S775,13S608
Aye,S775,13S614
Aye,S775,13S615
No,S775,13S616
Aye,S775,13S617
Aye,S775,13S109
Aye,S775,13S110
No,S775,13S423
Aye,S775,13S132
Aye,S775,13S272
Aye,S775,13S273
Aye,S775,13S274
No,S775,13S275
Aye,S775,13S276
No,S775,13S277
No,S775,13S278
No,S775,13S279
Aye,S776,13S753
No,S776,13S210
Aye,S776,13S96
Aye,S776,13S643
Aye,S776,13S102
Aye,S776,13S122
No,S776,13S123
Excused Absence,S776,13S459
Aye,S776,13S114
Aye,S776,13S355
Aye,S776,13S356
Excused Absence,S776,13S168
Excused Absence,S776,13S543
Aye,S776,13S107
Aye,S776,13S115
Aye,S776,13S774
Aye,S776,13S108
No,S776,13S618
Aye,S776,13S716
Aye,S776,13S149
Aye,S776,13S376
No,S776,13S377
Aye,S776,13S872
Excused Absence,S776,13S170
Excused Absence,S776,13S468
Aye,S776,13S131
Aye,S776,13S228
Aye,S776,13S211
Excused Absence,S776,13S482
Aye,S776,13S79
Aye,S776,13S290
Aye,S776,13S647
Aye,S776,13S291
Aye,S776,13S619
Aye,S776,13S112
N/V,S776,13S117
Aye,S776,13S346
Aye,S776,13S392
Excused Absence,S776,13S237
Aye,S776,13S120
Aye,S776,13S712
Aye,S776,13S262
Aye,S774,13S826
Aye,S774,13S845
Aye,S774,13S190
Aye,S774,13S32
Aye,S774,13S350
Aye,S774,13S371
Aye,S774,13S372
Aye,S774,13S72
Aye,S774,13S87
No,S774,13S169
Aye,S774,13S230
Aye,S774,13S59
Aye,S774,13S78
Aye,S774,13S147
Aye,S774,13S542
Aye,S774,13S317
Aye,S774,13S318
Aye,S774,13S342
Aye,S774,13S343
No,S774,13S823
Aye,S774,13S235
Aye,S519,13S48
Aye,S519,13S52
Aye,S519,13S56
Aye,S519,13S240
Aye,S519,13S259
Aye,S519,13S19
Aye,S519,13S100
Aye,S519,13S895
Aye,S519,13S34
Aye,S519,13S316
Aye,S519,13S789
Aye,S519,13S36
Aye,S519,13S37
Aye,S519,13S38
Aye,S519,13S39
No,S519,13S40
Aye,S519,13S41
Aye,S519,13S45
No,S519,13S541
Aye,S519,13S830
Aye,S519,13S300
Aye,S519,13S80
No,S519,13S81
No,S519,13S82
No,S519,13S83
Aye,S519,13S84
Aye,S519,13S85
Aye,S519,13S773
Aye,S519,13S797
Aye,S519,13S101
Aye,S519,13S257
Aye,S519,13S53
Aye,S519,13S349
Aye,S519,13S65
No,S519,13S176
Aye,S519,13S283
Aye,S519,13S57
Aye,S519,13S61
Aye,S519,13S155
Aye,S519,13S156
Aye,S519,13S271
Aye,S519,13S287
Aye,S519,13S347
Aye,S519,13S393
Aye,S519,13S826
Aye,S519,13S845
Aye,S519,13S190
Aye,S519,13S32
Aye,S519,13S350
Aye,S519,13S371
Aye,S519,13S372
Aye,S519,13S72
Aye,S519,13S87
No,S519,13S169
Aye,S519,13S230
Aye,S519,13S59
Aye,S519,13S78
Aye,S519,13S147
Aye,S519,13S542
Aye,S519,13S317
Aye,S519,13S318
Aye,S519,13S342
Aye,S519,13S343
No,S519,13S823
Aye,S519,13S235
Aye,S519,13S311
Aye,S519,13S312
Aye,S519,13S328
Aye,S519,13S710
Aye,S519,13S51
Aye,S519,13S208
Aye,S519,13S472
Aye,S519,13S141
Aye,S519,13S144
Aye,S519,13S145
Aye,S519,13S762
Aye,S519,13S55
Aye,S519,13S93
Aye,S519,13S388
No,S519,13S389
Aye,S519,13S390
Aye,S519,13S391
Aye,S519,13S817
Aye,S519,13S351
Aye,S519,13S473
Aye,S519,13S113
Aye,S519,13S118
Aye,S519,13S788
Aye,S519,13S805
Aye,S519,13S148
Aye,S564,13S343
No,S564,13S823
Aye,S564,13S235
Aye,S564,13S311
Aye,S564,13S312
Aye,S564,13S328
Aye,S564,13S710
Aye,S564,13S51
Aye,S564,13S208
Aye,S564,13S472
Aye,S564,13S141
Aye,S564,13S144
Aye,S564,13S145
Aye,S564,13S762
Aye,S564,13S55
Aye,S564,13S93
Aye,S564,13S388
No,S564,13S389
Aye,S564,13S390
Aye,S564,13S391
Aye,S564,13S817
Aye,S564,13S351
Aye,S564,13S473
No,S564,13S113
Aye,S564,13S118
Aye,S564,13S788
Aye,S564,13S805
Aye,S564,13S148
Aye,S564,13S91
Aye,S564,13S97
Aye,S564,13S628
Aye,S564,13S352
Aye,S564,13S395
Aye,S564,13S711
Aye,S564,13S94
Aye,S564,13S98
Aye,S564,13S106
Excused Absence,S564,13S177
Excused Absence,S564,13S178
Excused Absence,S564,13S179
Aye,S564,13S353
Aye,S704,13S48
Aye,S704,13S52
Aye,S704,13S56
Aye,S704,13S240
Aye,S704,13S259
Aye,S704,13S19
Aye,S704,13S100
Aye,S704,13S895
Aye,S704,13S34
Aye,S704,13S316
Aye,S704,13S789
Aye,S704,13S36
Aye,S704,13S37
Aye,S704,13S38
Aye,S704,13S39
No,S704,13S40
Aye,S704,13S41
Aye,S704,13S45
No,S704,13S541
Aye,S704,13S830
Aye,S704,13S300
Aye,S704,13S80
No,S704,13S81
No,S704,13S82
No,S704,13S83
Aye,S704,13S84
Aye,S704,13S85
Aye,S704,13S773
Aye,S704,13S797
Aye,S704,13S101
Aye,S704,13S257
Aye,S704,13S53
Aye,S704,13S349
Aye,S704,13S65
No,S704,13S176
Aye,S704,13S283
Aye,S704,13S57
Aye,S704,13S61
Aye,S704,13S155
Aye,S704,13S156
Aye,S704,13S271
Aye,S704,13S287
Aye,S704,13S347
Aye,S704,13S393
Aye,S704,13S826
Aye,S704,13S845
Aye,S704,13S190
Aye,S704,13S32
Aye,S629,13S1
Aye,S629,13S3
No,S629,13S4
No,S629,13S5
No,S629,13S28
No,S629,13S44
Aye,S629,13S583
Aye,S629,13S99
Aye,S629,13S89
Aye,S629,13S540
No,S629,13S7
Aye,S629,13S8
Aye,S629,13S9
Aye,S629,13S10
No,S629,13S11
Excused Absence,S629,13S16
Excused Absence,S629,13S17
Excused Absence,S629,13S18
No,S629,13S60
No,S629,13S205
Aye,S629,13S69
Excused Absence,S629,13S15
N/V,S629,13S590
Aye,S629,13S35
Aye,S629,13S609
Aye,S629,13S871
Aye,S629,13S62
Aye,S629,13S63
Excused Absence,S629,13S130
Aye,S629,13S70
Aye,S629,13S330
Aye,S629,13S286
Aye,S629,13S64
Excused Absence,S629,13S125
Aye,S629,13S258
Aye,S629,13S33
No,S629,13S105
Aye,S629,13S554
Aye,S629,13S86
Aye,S629,13S6
No,S629,13S58
Excused Absence,S629,13S46
Excused Absence,S629,13S47
Aye,S629,13S71
Aye,S629,13S111
Aye,S629,13S27
Aye,S629,13S12
Aye,S629,13S13
Aye,S643,13S1
Aye,S643,13S3
No,S643,13S4
No,S643,13S5
No,S643,13S28
No,S643,13S44
Aye,S643,13S583
Aye,S643,13S99
Aye,S643,13S89
Aye,S643,13S540
Aye,S643,13S7
Aye,S643,13S8
Aye,S643,13S9
Aye,S643,13S10
No,S643,13S11
Aye,S643,13S16
Aye,S643,13S17
No,S643,13S18
No,S643,13S60
No,S643,13S205
Aye,S643,13S69
Aye,S643,13S15
Aye,S643,13S590
Aye,S643,13S35
Aye,S643,13S609
Excused Absence,S643,13S871
Aye,S643,13S62
Aye,S643,13S63
Aye,S643,13S130
Aye,S643,13S70
Aye,S643,13S330
Excused Absence,S643,13S286
Aye,S643,13S64
Aye,S643,13S125
Aye,S643,13S258
Aye,S643,13S33
No,S643,13S105
Aye,S643,13S554
Aye,S643,13S86
Aye,S643,13S6
Aye,S643,13S58
Aye,S643,13S46
Aye,S643,13S47
Aye,S775,13S280
No,S775,13S751
Aye,S775,13S831
Aye,S775,13S236
Aye,S775,13S818
Aye,S775,13S180
Aye,S775,13S181
Aye,S775,13S142
Aye,S775,13S143
Aye,S775,13S885
Aye,S775,13S263
Aye,S775,13S890
Aye,S775,13S119
Aye,S775,13S163
Aye,S775,13S164
Aye,S775,13S238
Aye,S775,13S891
Aye,S775,13S133
Aye,S775,13S229
Aye,S775,13S303
Aye,S775,13S304
Aye,S775,13S281
Aye,S775,13S284
Aye,S775,13S285
Aye,S775,13S378
Aye,S775,13S191
Aye,S775,13S620
Aye,S775,13S212
Aye,S775,13S134
Aye,S775,13S819
Aye,S775,13S292
Aye,S775,13S912
Aye,S775,13S792
Aye,S775,13S135
Aye,S775,13S763
Aye,S775,13S136
Aye,S775,13S469
Aye,S775,13S150
Aye,S775,13S320
No,S775,13S470
Aye,S775,13S313
Aye,S775,13S314
Aye,S775,13S315
Aye,S775,13S708
Aye,S775,13S709
No,S775,13S398
No,S775,13S399
No,S775,13S400
Aye,S775,13S401
No,S775,13S402
Aye,S775,13S403
Aye,S776,13S598
Aye,S776,13S197
No,S776,13S198
No,S776,13S199
Aye,S776,13S883
No,S776,13S900
Aye,S776,13S775
Aye,S776,13S153
Excused Absence,S776,13S162
Aye,S776,13S357
Aye,S776,13S370
Aye,S776,13S375
Aye,S776,13S610
Aye,S776,13S806
Excused Absence,S776,13S126
Excused Absence,S776,13S127
Excused Absence,S776,13S128
Excused Absence,S776,13S544
Excused Absence,S776,13S471
Excused Absence,S776,13S481
No,S776,13S878
No,S776,13S907
Aye,S776,13S124
Excused Absence,S776,13S129
Excused Absence,S776,13S186
Excused Absence,S776,13S187
No,S776,13S884
No,S776,13S901
Aye,S776,13S242
Aye,S776,13S301
Aye,S776,13S302
No,S776,13S848
No,S776,13S896
No,S776,13S188
No,S776,13S189
Excused Absence,S776,13S509
Aye,S776,13S319
No,S776,13S608
Aye,S776,13S614
Aye,S776,13S615
Aye,S776,13S616
No,S776,13S617
No,S776,13S109
No,S776,13S110
Aye,S776,13S423
Aye,S776,13S132
Aye,S776,13S272
Aye,S776,13S273
No,S776,13S274
Aye,S776,13S275
Aye,S776,13S276
Aye,S776,13S277
Aye,S776,13S278
Aye,S774,13S311
Aye,S774,13S312
Aye,S774,13S328
Aye,S774,13S710
Aye,S774,13S51
Aye,S774,13S208
Aye,S774,13S472
Aye,S774,13S141
Aye,S774,13S144
Aye,S774,13S145
Aye,S774,13S762
Aye,S774,13S55
Aye,S774,13S93
Aye,S774,13S388
No,S774,13S389
Aye,S774,13S390
Aye,S774,13S391
Aye,S774,13S817
Aye,S774,13S351
Aye,S774,13S473
Aye,S774,13S113
Aye,S774,13S118
Aye,S774,13S788
Aye,S774,13S805
Aye,S774,13S148
Aye,S774,13S91
Aye,S774,13S97
Aye,S774,13S628
Aye,S774,13S352
Aye,S774,13S395
Aye,S774,13S711
Aye,S774,13S94
Aye,S774,13S98
Aye,S774,13S106
Aye,S774,13S177
Aye,S774,13S178
Aye,S774,13S179
Aye,S774,13S353
Aye,S774,13S354
No,S774,13S847
Aye,S774,13S899
Aye,S774,13S209
Aye,S774,13S288
Aye,S774,13S289
Aye,S774,13S146
Aye,S774,13S95
Aye,S774,13S103
Aye,S774,13S104
No,S774,13S474
Aye,S774,13S753
Aye,S774,13S210
